Domain,kw,type,team,owner,end_date,plan,Cost,Month
campolaspizza.com,mumu99,แบรนด์คู่แข่ง,Internal,Ming,4 Dec 2024,C,376.91,Dec 2024
connectionshometheater.com,newpk1,แบรนด์คู่แข่ง,Internal,Ming,4 Dec 2024,C,376.91,Dec 2024
motardimpression.com,one45,แบรนด์คู่แข่ง,Internal,Ming,4 Dec 2024,C,376.91,Dec 2024
songaliza.com,molly999,แบรนด์คู่แข่ง,Internal,Ming,4 Dec 2024,C,378.25,Dec 2024
malvela.info,keroro888,แบรนด์คู่แข่ง,Internal,Tuk,4 Dec 2024,C,134.09,Dec 2024
senuncan.com,win888,แบรนด์คู่แข่ง,Internal,Tuk,4 Dec 2024,C,378.25,Dec 2024
aestragada.com,player168,แบรนด์คู่แข่ง,Internal,Tuk,4 Dec 2024,C,378.25,Dec 2024
fantoches.org,bz88,แบรนด์คู่แข่ง,Internal,Tuk,4 Dec 2024,C,243.46,Dec 2024
ugcgalicia.com,playergold,แบรนด์คู่แข่ง,Internal,Thee,4 Dec 2024,C,378.25,Dec 2024
mafiagallega.com,moon2499,แบรนด์คู่แข่ง,Internal,Thee,4 Dec 2024,C,378.25,Dec 2024