id,month_registration,month_expire,domain,team,sum_hosting_cost_by_domain
1,Nov 2022,Nov 2023,nicolarendell.com,,0
2,Nov 2022,Nov 2023,equestriaonline.com,,0
3,Nov 2022,Nov 2023,sabrinagarie.com,,0
4,Nov 2022,Nov 2023,bethfehlbaumbooks.com,Internal,95.86
5,Nov 2022,Nov 2023,passionatebookdivas.com,Internal,95.86
6,Nov 2022,Nov 2023,moirakeith.com,Internal,95.86
7,Nov 2022,Nov 2023,authoreleanorgreen.com,Internal,95.86
8,Nov 2022,Nov 2023,mrclucks.com,Internal,95.86
9,Nov 2022,Nov 2023,fenwilde.com,Internal,95.86
10,Nov 2022,Nov 2023,elizabethkirke.com,Internal,95.86
11,Nov 2022,Nov 2023,heathergemmen.com,Internal,95.86